# Darks Souls Remastered Customizer Menu
# ID, tab, label, debug min, debug max, gui min, gui max
010, Customize, Maturity, 15.0, 60.0, 0, 254;
020, Customize, Hormones, -4.0, 4.0, 0, 254;
030, Customize, Features, 0.0, 2.0, 0, 254;
119, Entire:Balance, Nose Length, -10.0, 10.0, 32, 223;
120, Entire:Balance, Nose/Forehead Size, -10.0, 10.0, 32, 223;
121, Entire:Balance, Face Aspect Ratio, -10.0, 10.0, 96, 223;
122, Entire:Balance, Face Asperity, -10.0, 10.0, 96, 223;
123, Entire:Balance, Vertical Spacing, -10.0, 10.0, 32, 223;
124, Entire:Balance, Parts Inclination, -10.0, 10.0, 32, 223;
125, Entire:Balance, Horizontal Spacing, -10.0, 10.0, 64, 223;
231, Entire:Color Tone, Skin Color, -10.0, 10.0, 0, 255;
232, Entire:Color Tone, Skin Color, -10.0, 10.0, 0, 255;
233, Entire:Color Tone, Skin Color, -10.0, 10.0, 0, 255;
234, Entire:Color Tone, Skin Color, -10.0, 10.0, 0, 255;
235, Entire:Color Tone, Skin Color, -10.0, 10.0, 0, 255;
230, Entire:Color Tone, Nose Bridge Color, -10.0, 10.0, 0, 255;
206, Entire:Color Tone, Cheek Color, -10.0, 10.0, 0, 255;
126, Forehead:Brow/Forehead, Brow Width, -10.0, 10.0, 96, 175;
127, Forehead:Brow/Forehead, Brow Depth, -10.0, 10.0, 65, 223;
128, Forehead:Brow/Forehead, Brow Asperity, -10.0, 10.0, 48, 191;
154, Forehead:Brow/Forehead, Nose Bridge Height, -10.0, 10.0, 32, 191;
155, Forehead:Brow/Forehead, Nose Bridge Asperity 1, -10.0, 10.0, 48, 191;
156, Forehead:Brow/Forehead, Nose Bridge Asperity 2, -10.0, 10.0, 48, 191;
157, Forehead:Brow/Forehead, Nose Bridge Width, -10.0, 10.0, 48, 191;
100, Eyebrow:Brow Ridge, Brow Ridge Height, -10.0, 10.0, 32, 223;
101, Eyebrow:Brow Ridge, Inner Brow Ridge, -10.0, 10.0, 32, 223;
102, Eyebrow:Brow Ridge, Outer Brow Ridge, -10.0, 10.0, 32, 223;
209, Eyebrow:Eyebrows, Eyebrow Density, -10.0, 10.0, 0, 255;
210, Eyebrow:Eyebrows, Eyebrow Position, -10.0, 10.0, 0, 255;
211, Eyebrow:Eyebrows, Eyebrow Thickness 1, -10.0, 10.0, 0, 255;
212, Eyebrow:Eyebrows, Eyebrow Thickness 2, -10.0, 10.0, 0, 255;
213, Eyebrow:Eyebrows, Lower Brow, -10.0, 10.0, 0, 255;
214, Eyebrow:Eyebrows, Outer Brow, -10.0, 10.0, 0, 255;
215, Eyebrow:Eyebrows, Upper Brow, -10.0, 10.0, 0, 255;
115, Eyes:Eyes, Eye Position, -10.0, 10.0, 32, 191;
116, Eyes:Eyes, Eye Size, -10.0, 10.0, 32, 191;
117, Eyes:Eyes, Eye Slant, -10.0, 10.0, 32, 191;
118, Eyes:Eyes, Eye Spacing, -10.0, 10.0, 32, 191;
207, Eyes:Eye Area, Eye Socket Color, -10.0, 10.0, 0, 255;
208, Eyes:Eye Area, Eye Socket Brightness, -10.0, 10.0, 0, 255;
218, Eyes:Eye Area, Eyelid Brightness, -10.0, 10.0, 0, 255;
219, Eyes:Eye Area, Eyelid Color, -10.0, 10.0, 0, 255;
220, Eyes:Eye Area, Eyeliner, -10.0, 10.0, 0, 255;
221, Eyes:Eye Area, Eye Shadow, -10.0, 10.0, 0, 255;
146, Nose:Nose Ridge, Nose Ridge Depth, -10.0, 10.0, 32, 191;
147, Nose:Nose Ridge, Nose Ridge Length, -10.0, 10.0, 32, 191;
148, Nose:Nose Ridge, Nose Position, -10.0, 10.0, 64, 191;
149, Nose:Nose Ridge, Nose Tip Height, -10.0, 10.0, 64, 191;
153, Nose:Nose Ridge, Nose Asperity, -10.0, 10.0, 32, 191;
158, Nose:Nose Ridge, Nose Placement, -10.0, 10.0, 32, 191;
159, Nose:Nose Ridge, Nose Slant, -10.0, 10.0, 64, 223;
150, Nose:Nostrils, Nostril Slant, -10.0, 10.0, 32, 191;
151, Nose:Nostrils, Nostril Size, -10.0, 10.0, 32, 191;
152, Nose:Nostrils, Nostril Width, -10.0, 10.0, 32, 191;
229, Nose:Nostrils, Nasal Size, -10.0, 10.0, 32, 191;
103, Cheeks:Cheeks, Cheekbone Height, -10.0, 10.0, 32, 191;
104, Cheeks:Cheeks, Cheekbone Depth, -10.0, 10.0, 32, 159;
105, Cheeks:Cheeks, Cheekbone Width, -10.0, 10.0, 32, 159;
106, Cheeks:Cheeks, Cheekbone Asperity, -10.0, 10.0, 64, 159;
107, Cheeks:Cheeks, Cheeks, -10.0, 10.0, 64, 223;
228, Cheeks:Cheeks, Nasolabial Fold, -10.0, 10.0, 0, 255;
134, Mouth:Lips, Lip Shape, -10.0, 10.0, 32, 223;
135, Mouth:Lips, Mouth Expression, -10.0, 10.0, 32, 223;
136, Mouth:Lips, Lip Fullness, -10.0, 10.0, 32, 223;
137, Mouth:Lips, Lip Size, -10.0, 10.0, 32, 223;
138, Mouth:Lips, Lip Asperity, -10.0, 10.0, 32, 223;
139, Mouth:Lips, Lip Thickness, -10.0, 10.0, 32, 223;
140, Mouth:Mouth, Mouth Asperity, -10.0, 10.0, 32, 223;
141, Mouth:Mouth, Mouth Slant, -10.0, 10.0, 32, 223;
142, Mouth:Mouth, Occlusion, -10.0, 10.0, 32, 223;
143, Mouth:Mouth, Mouth Position, -10.0, 10.0, 32, 223;
144, Mouth:Mouth, Mouth Width, -10.0, 10.0, 32, 223;
145, Mouth:Mouth, Mouth-Chin Distance, -10.0, 10.0, 32, 223;
225, Mouth:Lipstick, Lip Color, -10.0, 10.0, 0, 255;
226, Mouth:Lipstick, Lipstick, -10.0, 10.0, 0, 255;
227, Mouth:Lipstick, Lipstick, -10.0, 10.0, 0, 255;
108, Jaw:Chin, Chin Tip Position, -10.0, 10.0, 64, 191;
109, Jaw:Chin, Chin Length, -10.0, 10.0, 64, 191;
110, Jaw:Chin, Chin Protrusion, -10.0, 10.0, 32, 191;
111, Jaw:Chin, Chin Depth, -10.0, 10.0, 32, 191;
112, Jaw:Chin, Chin Size, -10.0, 10.0, 48, 191;
113, Jaw:Chin, Chin Height, -10.0, 10.0, 64, 223;
114, Jaw:Chin, Chin Width, -10.0, 10.0, 64, 191;
130, Jaw:Jaw, Jaw Protrusion, -10.0, 10.0, 32, 191;
131, Jaw:Jaw, Jaw Width, -10.0, 10.0, 56, 191;
132, Jaw:Jaw, Lower Jaw, -10.0, 10.0, 32, 191;
133, Jaw:Jaw, Jaw Contour, -10.0, 10.0, 32, 191;
200, Jaw:Beard, Whole Beard Color, -10.0, 10.0, 0, 255;
201, Jaw:Beard, Whole Beard, -10.0, 10.0, 0, 255;
202, Jaw:Beard, Sideburns, -10.0, 10.0, 0, 255;
203, Jaw:Beard, Around Mouth, -10.0, 10.0, 0, 255;
204, Jaw:Beard, Goatee, -10.0, 10.0, 0, 255;
205, Jaw:Beard, Mustache, -10.0, 10.0, 0, 255;
